Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,100.012180,10.000609,28.130275,7.980579,0.130423,0.990230,0.990295,0.869577,0.647135,0.930824,0.449717,0.796737,0.354539
Ruído Gaussiano,Gauss σ=25,567.500690,23.822273,20.591140,19.206051,0.313876,0.948367,0.966646,0.686124,0.321148,0.779265,0.226590,0.610914,0.180138
Ruído Gaussiano,Gauss σ=50,1913.098183,43.738978,15.313431,35.085945,0.573395,0.857178,0.930655,0.426605,0.148573,0.591204,0.104557,0.449071,0.110140
Sal-e-Pimenta,S&P d=0.01,436.575459,20.894388,21.730210,2.523388,0.041239,0.960519,0.999279,0.958761,0.498346,0.824802,0.496905,0.848768,0.719227
Sal-e-Pimenta,S&P d=0.05,2057.493835,45.359606,14.997418,11.976799,0.195732,0.855429,0.995730,0.804268,0.165100,0.590536,0.133426,0.580494,0.370937
Sal-e-Pimenta,S&P d=0.1,3826.055138,61.855114,12.303291,22.453369,0.366946,0.782418,0.988046,0.633054,0.097417,0.475708,0.073818,0.400862,0.205807
Desfoque,Blur k=3,42.715462,6.535707,31.824953,3.318596,0.054234,0.995814,0.998526,0.945766,0.911882,0.989474,0.732224,0.856539,0.417900
Desfoque,Blur k=7,86.893459,9.321666,28.740933,4.860371,0.079431,0.991469,0.996807,0.920569,0.824674,0.967583,0.499503,0.715997,0.260057
Desfoque,Blur k=15,143.816647,11.992358,26.552712,6.433338,0.105137,0.985847,0.995141,0.894863,0.732756,0.926120,0.309216,0.617746,0.164881
JPEG,JPEG Q=10,83.973347,9.163697,28.889389,6.003887,0.098119,0.991748,0.996650,0.901881,0.800862,0.942675,0.363977,0.728581,0.214687
JPEG,JPEG Q=30,42.959587,6.554356,31.800203,4.139229,0.067646,0.995783,0.998548,0.932354,0.891740,0.981338,0.531508,0.841062,0.352017
JPEG,JPEG Q=50,30.919949,5.560571,33.228416,3.490665,0.057046,0.996966,0.998703,0.942954,0.919607,0.989195,0.596416,0.879196,0.419989
JPEG,JPEG Q=90,6.288052,2.507599,40.145643,1.733479,0.028330,0.999384,0.999684,0.971670,0.976268,0.997458,0.813924,0.964480,0.681198
Brilho/Contraste,Brilho α=0.5 β=-50,4486.953629,66.984727,11.611288,59.138367,0.966473,0.582229,0.093629,0.033527,0.024836,0.022598,0.020160,0.730349,0.102758
Brilho/Contraste,Brilho α=1.5 β=+50,6412.205929,80.076251,10.060729,78.417767,1.281548,0.973491,1.499923,-0.281548,0.652977,0.658928,0.624943,0.647892,1.168312
