Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,98.340664,9.916686,28.203472,7.863804,0.072078,0.996514,0.996038,0.927922,0.642950,0.932180,0.432679,0.688534,0.383436
Ruído Gaussiano,Gauss σ=25,605.387539,24.604624,20.310469,19.504688,0.178777,0.978942,0.988037,0.821223,0.334349,0.782208,0.239793,0.517005,0.206266
Ruído Gaussiano,Gauss σ=50,2236.790882,47.294724,14.634550,37.775570,0.346244,0.927997,0.963583,0.653756,0.175429,0.612419,0.131294,0.387797,0.129150
Sal-e-Pimenta,S&P d=0.01,375.138046,19.368481,22.388892,2.537491,0.023258,0.986962,0.994662,0.976742,0.493286,0.850891,0.487135,0.905974,0.716444
Sal-e-Pimenta,S&P d=0.05,1780.802418,42.199555,15.624646,12.103550,0.110939,0.941953,0.973617,0.889061,0.200087,0.648818,0.155993,0.657679,0.382404
Sal-e-Pimenta,S&P d=0.1,3370.025105,58.051917,12.854472,22.949932,0.210355,0.896383,0.946001,0.789645,0.127941,0.543023,0.097092,0.486214,0.212171
Desfoque,Blur k=3,75.042423,8.662703,29.377735,3.696178,0.033879,0.997343,0.999158,0.966121,0.912505,0.990759,0.747871,0.853885,0.443117
Desfoque,Blur k=7,146.497814,12.103628,26.472492,5.523449,0.050627,0.994807,0.998032,0.949373,0.840171,0.974726,0.576451,0.710107,0.301510
Desfoque,Blur k=15,237.102341,15.398128,24.381445,7.531471,0.069032,0.991585,0.996744,0.930968,0.762194,0.943264,0.438670,0.587727,0.216100
JPEG,JPEG Q=10,105.146538,10.254099,27.912854,6.253990,0.057323,0.996270,0.997788,0.942677,0.809888,0.943133,0.376701,0.714381,0.256389
JPEG,JPEG Q=30,50.844032,7.130500,31.068404,4.109955,0.037671,0.998198,0.999098,0.962329,0.890603,0.981503,0.573286,0.805151,0.389338
JPEG,JPEG Q=50,34.323250,5.858605,32.774920,3.417511,0.031324,0.998784,0.999266,0.968676,0.915727,0.988727,0.662559,0.845294,0.454205
JPEG,JPEG Q=90,6.151844,2.480291,40.240750,1.642963,0.015059,0.999782,0.999861,0.984941,0.972127,0.997239,0.846645,0.954601,0.704337
Brilho/Contraste,Brilho α=0.5 β=-50,10637.860523,103.140004,7.862261,97.580296,0.894404,0.825942,0.264259,0.105596,0.130563,0.121383,0.109971,0.834224,0.323544
Brilho/Contraste,Brilho α=1.5 β=+50,9077.339504,95.275073,8.551218,92.743382,0.850070,0.979418,1.351545,0.149930,0.719600,0.729956,0.593447,0.644356,0.835040
