Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,82.907997,9.105383,28.944839,6.597939,0.036971,0.998912,0.994305,0.963029,0.796898,0.964131,0.562544,0.611380,0.409549
Ruído Gaussiano,Gauss σ=25,507.954418,22.537844,21.072556,16.287426,0.091265,0.993119,0.985358,0.908735,0.483786,0.856071,0.365658,0.453929,0.206569
Ruído Gaussiano,Gauss σ=50,1904.804466,43.644066,15.332300,31.666573,0.177440,0.973552,0.965410,0.822560,0.265110,0.690752,0.208821,0.353616,0.115436
Sal-e-Pimenta,S&P d=0.01,454.106907,21.309784,21.559223,2.492466,0.013966,0.993771,0.991860,0.986034,0.615375,0.854438,0.489810,0.926980,0.745925
Sal-e-Pimenta,S&P d=0.05,2257.759327,47.515885,14.594027,12.206806,0.068400,0.968878,0.958872,0.931600,0.275231,0.670869,0.238207,0.709330,0.392642
Sal-e-Pimenta,S&P d=0.1,4394.987701,66.294703,11.701227,23.635544,0.132439,0.939009,0.919055,0.867561,0.179569,0.569594,0.151604,0.535146,0.207164
Desfoque,Blur k=3,176.823936,13.297516,25.655393,6.676643,0.037412,0.997576,0.998720,0.962588,0.834331,0.981987,0.461310,0.786619,0.303060
Desfoque,Blur k=7,308.806149,17.572881,23.233944,8.996174,0.050409,0.995762,0.997720,0.949591,0.712730,0.950880,0.297810,0.622388,0.173412
Desfoque,Blur k=15,453.712898,21.300538,21.562992,11.216705,0.062852,0.993769,0.996703,0.937148,0.611089,0.900081,0.178402,0.523730,0.108257
JPEG,JPEG Q=10,232.185623,15.237638,24.472450,8.484818,0.047544,0.996813,0.997635,0.952456,0.751541,0.951758,0.342020,0.641691,0.184284
JPEG,JPEG Q=30,128.159710,11.320765,27.053288,6.463383,0.036217,0.998242,0.998489,0.963783,0.855000,0.983069,0.479925,0.676806,0.299725
JPEG,JPEG Q=50,85.068935,9.223282,28.833094,5.452656,0.030553,0.998834,0.998806,0.969447,0.896827,0.989483,0.536108,0.715773,0.368660
JPEG,JPEG Q=90,9.051979,3.008651,38.563368,1.913589,0.010723,0.999876,0.999747,0.989277,0.984652,0.998675,0.661537,0.897984,0.708975
Brilho/Contraste,Brilho α=0.5 β=-50,20405.027439,142.846167,5.033432,137.595676,0.771002,0.957235,0.456146,0.228998,0.318049,0.309382,0.140293,0.898005,0.501553
Brilho/Contraste,Brilho α=1.5 β=+50,5809.258308,76.218491,10.489597,59.049141,0.330875,0.963236,1.140725,0.669125,0.780427,0.767942,0.406858,0.585941,0.489056
