Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,99.173901,9.958609,28.166830,7.921055,0.147537,0.986768,0.989715,0.852463,0.556250,0.906116,0.295273,0.874819,0.386518
Ruído Gaussiano,Gauss σ=25,575.334621,23.986134,20.531599,19.280575,0.359118,0.930025,0.958316,0.640882,0.252967,0.721687,0.155000,0.723619,0.213790
Ruído Gaussiano,Gauss σ=50,1866.801918,43.206503,15.419821,34.888855,0.649837,0.826910,0.916687,0.350163,0.124907,0.538917,0.080820,0.542333,0.138121
Sal-e-Pimenta,S&P d=0.01,442.863323,21.044318,21.668106,2.508823,0.046729,0.947094,1.001142,0.953271,0.443881,0.783139,0.427922,0.872955,0.702708
Sal-e-Pimenta,S&P d=0.05,2100.219700,45.828154,14.908156,11.951244,0.222603,0.821055,1.002653,0.777397,0.132085,0.530886,0.097261,0.615472,0.373436
Sal-e-Pimenta,S&P d=0.1,3903.925453,62.481401,12.215788,22.396935,0.417164,0.745695,1.000591,0.582836,0.081763,0.422174,0.057765,0.439454,0.220400
Desfoque,Blur k=3,34.107182,5.840135,32.802345,1.944744,0.036223,0.995424,0.998957,0.963777,0.963063,0.995435,0.815605,0.889946,0.544868
Desfoque,Blur k=7,72.648617,8.523416,29.518530,3.160374,0.058865,0.990235,0.997306,0.941135,0.919711,0.984914,0.648560,0.774539,0.382221
Desfoque,Blur k=15,126.146034,11.231475,27.122068,4.597656,0.085636,0.982997,0.995242,0.914364,0.860484,0.959857,0.484484,0.667377,0.265731
JPEG,JPEG Q=10,58.405701,7.642362,30.466251,4.747864,0.088433,0.992151,0.998715,0.911567,0.876654,0.941513,0.305766,0.828893,0.305325
JPEG,JPEG Q=30,24.566040,4.956414,34.227452,2.685219,0.050015,0.996697,0.999242,0.949985,0.944134,0.985120,0.487270,0.907441,0.471122
JPEG,JPEG Q=50,15.974529,3.996815,36.096523,2.103184,0.039174,0.997852,0.998934,0.960826,0.961539,0.992145,0.569871,0.935928,0.547945
JPEG,JPEG Q=90,2.808094,1.675737,43.646687,0.942921,0.017563,0.999623,0.999783,0.982437,0.988452,0.998163,0.776619,0.986935,0.767173
Brilho/Contraste,Brilho α=0.5 β=-50,3339.037457,57.784405,12.894591,52.522869,0.978287,0.503849,0.051338,0.021713,0.020033,0.015934,0.010051,0.664811,0.111655
Brilho/Contraste,Brilho α=1.5 β=+50,5751.127808,75.836191,10.533273,74.972931,1.396440,0.970788,1.536319,-0.396440,0.656265,0.660980,0.600702,0.644028,1.137896
