Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,89.109898,9.439804,28.631544,7.321415,0.036869,0.998968,0.996909,0.963131,0.739988,0.954462,0.530754,0.729376,0.470724
Ruído Gaussiano,Gauss σ=25,497.456917,22.303742,21.163249,17.057663,0.085898,0.994211,0.989711,0.914102,0.489798,0.859093,0.381915,0.588077,0.260575
Ruído Gaussiano,Gauss σ=50,1742.101067,41.738484,15.720070,31.237785,0.157305,0.979517,0.970773,0.842695,0.301159,0.723709,0.242063,0.480540,0.151413
Sal-e-Pimenta,S&P d=0.01,492.198170,22.185540,21.209404,2.533131,0.012756,0.994255,0.991132,0.987244,0.602522,0.862820,0.569393,0.930312,0.745089
Sal-e-Pimenta,S&P d=0.05,2409.178467,49.083383,14.312114,12.316872,0.062025,0.971655,0.956190,0.937975,0.277960,0.685380,0.241197,0.723818,0.413765
Sal-e-Pimenta,S&P d=0.1,4660.382675,68.266996,11.446588,23.778755,0.119744,0.944616,0.914381,0.880256,0.188615,0.590687,0.159135,0.557753,0.244613
Desfoque,Blur k=3,195.439453,13.979966,25.220681,6.193283,0.031188,0.997723,0.998480,0.968812,0.865987,0.982956,0.722047,0.777333,0.386709
Desfoque,Blur k=7,370.361244,19.244772,22.444548,9.128654,0.045969,0.995679,0.997029,0.954031,0.748398,0.949197,0.540657,0.612155,0.245148
Desfoque,Blur k=15,553.703865,23.530913,20.698028,11.913223,0.059992,0.993533,0.995538,0.940008,0.640435,0.894057,0.391604,0.518328,0.164680
JPEG,JPEG Q=10,224.329563,14.977635,24.621939,8.571156,0.043162,0.997383,0.998074,0.956838,0.795545,0.949631,0.414815,0.654612,0.278015
JPEG,JPEG Q=30,111.729103,10.570199,27.649140,5.801460,0.029215,0.998698,0.998937,0.970785,0.895396,0.984939,0.585493,0.750668,0.413949
JPEG,JPEG Q=50,69.634087,8.344704,29.702585,4.650826,0.023420,0.999189,0.999140,0.976580,0.931063,0.991455,0.670038,0.796931,0.487109
JPEG,JPEG Q=90,6.548157,2.558937,39.969613,1.547768,0.007794,0.999924,0.999863,0.992206,0.989261,0.998739,0.831372,0.942030,0.775123
Brilho/Contraste,Brilho α=0.5 β=-50,23073.043072,151.898134,4.499755,147.752239,0.744041,0.982385,0.494810,0.255959,0.382619,0.366000,0.302611,0.855015,0.563160
Brilho/Contraste,Brilho α=1.5 β=+50,3223.662601,56.777307,13.047308,43.999249,0.221569,0.982662,1.097315,0.778431,0.641039,0.642801,0.221501,0.458558,0.252081
