Grupo,Experimento,MSE,RMSE,PSNR,MAE,NAE,NCC,Fidelity,Accuracy,SSIM,MS-SSIM,UIQ,FSIM,VIF
Ruído Gaussiano,Gauss σ=10,96.569637,9.826985,28.282398,7.842304,0.111430,0.993587,0.990782,0.888570,0.633855,0.939053,0.393967,0.722642,0.401531
Ruído Gaussiano,Gauss σ=25,552.206654,23.499078,20.709787,18.671246,0.265296,0.964735,0.975215,0.734704,0.330696,0.808942,0.218167,0.547474,0.222512
Ruído Gaussiano,Gauss σ=50,1928.668682,43.916611,15.278227,34.558750,0.491039,0.892351,0.949948,0.508961,0.169747,0.645435,0.116168,0.419602,0.138870
Sal-e-Pimenta,S&P d=0.01,437.710632,20.921535,21.718933,2.526314,0.035896,0.972332,0.997676,0.964104,0.494334,0.852519,0.478133,0.894553,0.702485
Sal-e-Pimenta,S&P d=0.05,2066.120235,45.454595,14.979248,11.988682,0.170345,0.888785,0.987334,0.829655,0.181114,0.651547,0.138860,0.625598,0.370354
Sal-e-Pimenta,S&P d=0.1,3864.045528,62.161447,12.260381,22.572872,0.320734,0.819391,0.971389,0.679266,0.114439,0.541279,0.083676,0.458570,0.213245
Desfoque,Blur k=3,34.928513,5.910035,32.699003,2.403114,0.034145,0.997687,0.999161,0.965855,0.958195,0.994830,0.863487,0.870703,0.552005
Desfoque,Blur k=7,89.965405,9.485009,28.590048,4.150822,0.058978,0.994036,0.997459,0.941022,0.896625,0.980409,0.699021,0.724368,0.377970
Desfoque,Blur k=15,176.164398,13.272694,25.671622,6.313950,0.089714,0.988299,0.995158,0.910286,0.810485,0.946919,0.508149,0.592495,0.264001
JPEG,JPEG Q=10,66.927826,8.180943,29.874736,5.362556,0.076196,0.995546,0.996124,0.923804,0.852009,0.954706,0.402769,0.715567,0.321177
JPEG,JPEG Q=30,27.975121,5.289151,33.663084,3.219940,0.045752,0.998141,0.999012,0.954248,0.933844,0.988108,0.596119,0.821025,0.480556
JPEG,JPEG Q=50,18.070763,4.250972,35.561039,2.561989,0.036403,0.998799,0.999135,0.963597,0.954553,0.993420,0.683375,0.863937,0.553045
JPEG,JPEG Q=90,3.402061,1.844468,42.813382,1.148804,0.016323,0.999774,0.999779,0.983677,0.987846,0.998598,0.863032,0.959287,0.781635
Brilho/Contraste,Brilho α=0.5 β=-50,5956.860771,77.180702,10.380629,65.616463,0.932333,0.715724,0.163297,0.067667,0.050442,0.046741,0.038721,0.776748,0.191124
Brilho/Contraste,Brilho α=1.5 β=+50,6551.528038,80.941510,9.967378,78.328354,1.112954,0.960267,1.433911,-0.112954,0.648405,0.669532,0.582221,0.682540,1.054121
